,text,trinary result
59,Hey there! Thanks for the compliment! How is everything? You're display pic looks awesome! I like your hair!,1
60,did you forget what we have?,0
61,"hello there, ----- ----- we thank you kindly for accepting our invite. ----- ----- much appreciated!! ----- ----- regards, ----- S.I.G.H.T.unit",1
62,i know it cus... love ya.... call me some time,1
63,Hey 'Liss.. ----- ----- Maybe you should RUN AWAY to MARYVILLE! :P Then we can partay like rawk stars! haha,1
64,haha yeaaaaaaaaaaaaa,1
65,i have free internet!!!! lol -----,1
66,Yeah im worried too...I have two other classes that are at the same time as organic that i have to take to graduate so im really worried!,-1
67,aw big shame lol ----- I haven't been up 2 much really ----- jus went 2 oceana havent been sooo bored in my life saw some mates so thats all cool. hope your well speek soon xxx,-1
68,waz gud tho!!?? how u been?,1
69,Hey thanks for the add. Dont be a stranger=),1
70,To Honor!,1
71,hey lan!!!!! things r good!!! i loved the comment you left me....nice pic!!!,1
72,Would you please get a picture on here?,1
73,HEY SO WHAT HAVE YOU BEEN UP TO?,1
74,Hi Ali - Managed to get this myspace working now and thought id leave you a wee message! How do u get ur backdrop pink? Miss you! xxx,-1
75,happy birthday to you...happy birthday to you...happy birthdaaay grreegg...happy birthday to you!!! im singing to ya if you couldn't tell...:->,-1
76,3 days off! bastardo! im at work today :(,-1
77,definitely not dread the b chord! haha,1
78,TAKE ME TO JAIL DROP MY SOAP SHUT THE FUCK UP MAN LOL.,-1
79,hey mike!!!,1
80,Hey girl I haven't heard from you in a while so I thought I'd stop in to see what was up?,1
81,happy birthday,1
82,ok ya for sure i just have to ask oh k?,0
83,"Wow, it's been along time since this page has been updated, don't worry all I will get on it soon!! I've just been real busy lately, but now that things should calm down some I should have more time!!!",1
84,Hey thanks for the add beautiful. Have a great summer. Alright peace,1
85,HEY THANX FOR DA REQUEST...DO I NO U??,1
86,What's up? Long time no see. It's not everyday you come across somebody who knows where Peyton is.,1
87,love u,1
88,.. i h0p3 s0 2 l0l wat ar3 yall g0iing 2 lata..,0
89,Happy Birthday on Sunday! You're a class act..........,1
90,"yo matt what up.. long time man, we need to chill soon",0
91,Hi donna+alex How are you two on this fine evening. What are your plans?? Anything romantic or a few films by trhe bedside? xx,1
92,hahahaha legend! ahhh blackadder and the 6hour war film will look very goood on that i bet! ----- i will be up soon to test out the new HD tv hahaha ----- mmmm capri sum and the stak and kidney pie! ----- xxx,1
93,"oh, you know.. good things. ----- i like to keep confidentiality ----- with the fam, you know lol ----- sors bro",1
94,blank comment?? whats up with that? lol,1
95,Happy Birthday!,1
96,"Hey bro, I seen that u have the buffalo skull drawing that I did erase that one and put the one that I have in my pics it looks much better and u can see the details, Later DJ",1
97,hey whats up dogg,1
98,"So i dont think i know you, but you probably saw my myspace and figured that i was one studly mf, and then you added me becasue you happen to have a crush on me. Am i right? Its cool.",-1
99,"lol Hows it going out in misery err... Missouri... seen any tornadoes lately? Anyways, Hope all is good ----- ----- Chat you Later, ----- ----- Nate",-1
100,"Thank god for myspace! lol kidding, how have u been?",1
101,"hi,im jessica. ----- :] ----- how are you doing?",1
102,no problem! damn dats whats really good.. i wanna lose some wieght too! so ima try it out ! thanks k.i.t n oh yeah don't let ur boss caught u!! lol,-1
103,becky olives is my bestest friend forever! i love you becky!!! jello shots schmello shots,1
104,i like your picture,1
105,"yo, next time your on TS, IM me on aim so I can get on and chill with ya",0
106,Happy Birthday bro,1
107,fuck you man.,-1
108,"alrite buddy. ----- u lot gunna b out in town on thursday? think theres quite alot of ppl goin out, shud b gd. seems a while since we were out with u lot.",-1
109,dude its been forever how you doin? what you been up to?,0
110,little girl,0
111,"wats up tyler?? u got 2 listin 2 the song on my pro, it makes fun of soulja boy in a hardcore verson..its awsome",1
112,"hey, just letting you know this is NOT the official Mr. Shy page, sorry! (blame Myspace!!;)) ----- ----- ----- Add-request me at my official page below, and I'll accept u there... and then delete this page, thx!! ----- ----- ----- www.myspace.com/mshy ----- ----- ----- ----- also join my MySpace FAN PAGE, where you'll get extra info and updates regularly: ----- ----- ----- www.myspace.com/mrshyfanpage ----- -----",-1
113,hey can u believe this im in england,1
114,things are pretty good here. Crazy busy mike works everysaturday and I work everyother. So we are really busy I am still doing a college class. I dont think we will be down any time soon just way to much happening in our lives right now.,1
115,noo forreal haha i dont have backround girls. thats mean ----- i have girls i thnnk arehot and if things go bad they are theree hahaha,-1
116,"I wanna know you, your insecurities ----- Secrets and your needs ----- I want your mental and your physical too ----- And once I've got it I won't stop ----- Until you know you're beautiful ----- ----- ~DORIAN~",1
117,Just thought I would drop by and say happy christmas merry new year lol Take care,1
118,"Hey get ahold of me please, I have some things to discuss with ya! Love Ya!",1
119,"Honey I'm so HAPPY to be carrying your first BABY.... I just can't wait until we found out how far along we are... I hope all goes well and we have no problems with this pregnancy......... I Love You ETERNITY, INFINITY, and BEYOND...... ----- ----- TISHA",1
120,"Whatever i do not hate on ppl and i was not giving u a mean face. yall were just being stupid and i was givng u a ""your wierd"" face! But u two r funny though.",-1
121,Whats up...thanx for the add! How have things been.. ----- my bad at the speedway ----- I was ----- on the phone conducting business..lol I didnt even see you come in ----- and i was already late for work =/. But yeah get back at me!,1
122,"ZOMG It's Anthony! <3 The hair style on your pic, it's so you =P",1
123,"Hey there, ----- it was really nice to see you guys again. We should do it more often!! Hope to see everyone soon! ----- ~Ashley",1
124,"yes it has. How are you doing? We are doing good. Chad is back out to sea until November!! Gotta love the Navy!! Well, hope you are doing well. Good to hear from ya...keep in touch!",1
125,hey hun thanks for the add hope your well and spk soon xxxx,1
126,ACDC why did you have to blow Ken's cover?,0
127,ENJOY YOUR PIZZA???,1
128,Thanks for the add.,1
129,thanks for the add :),1
130,im bleeding rectally ----- xxx,1
131,good lad ill be in top form today mate im not hungover hope your the same lol,1
132,wassup john how u been im jus cummin thru 2 sho sum lubb,0
133,my babyshower is oct.2oth ima give you an invitation next week so u betta start shopping trick,-1
134,It's about time you gave into the world of Mysapce. So how's everything going?? Are you and Jess coming up for the wedding?? Well see ya later. ----- ----- Peace.,0
135,Thank you! ----- ----- =),1
136,"lol havent gotten it yet, i think im going today..sounds good though.",1
137,have fun in vegas...,1
138,heyy loser. :] ----- dont you think your cool now. ----- since you have a myspace. ----- yeahh dont you?!?!?!?! ----- well you are very cool now. ----- BECAUSE MYSPACE IS FREAKIN' COOL! ----- ok well love you uncle loser.,-1
139,"HAPPY BIRTHDAY COUSIN!!! Enjoy your day to the fullest. May God bless and keep you and guide you each and everyday. Take care and have fun! Love, Silvy",1
140,WHATS UP MY BIG BRO!! ----- WHAT YOU DOIN,1
141,hey catherine what ya up too well me nothin much tryna pass my classes but i love avinger so much,1
142,Hey Joe.. Hows it been going.. -----,1
143,Hi dobbie! Ooo this is the magazine thing i've been hearing about! cool!! if only i lived in glasgow! haha! a doi de doi de doi de doi! :) hope alls great with u! :),1
144,was up homie...im chillin..u?...well cmb ----- Peace ----- ~Hector~,1
145,Happy Birthday Staz!,1
146,miss you lover!,1
147,who's that girl?,0
148,DID YOU SEE THE BABY :) ----- SHE IS SO CUTE. HOW IS EVERYTHING WITH YOU. BEEN A WHILE,1
149,HAPPY BIRTHDAY!!!!!!!!!!!!,1
150,How U doin' baby i luv u........ The Incredible Mutha Fuckin Black,1
151,You are by far the most amazing and wonderful woman I have ever met! I love you with all of my heart and soul Ashley!!!!!!,1
152,"nah huy its the knuckle head crew lol, hope yo arm gets betta soon",1
153,whats up girl!! its been a long long time! how have you been?,1
154,you suck lol =) telling my the ending or CLOSE to the ending of gatsby >.< i passed my two test hehe 10 out of 12 and 8 out of 10 on vocab >.< kinda bad oh well you still owe me vday dinner >:[ flying elephant is hungry.. i dotn think i want to be an elephant maybe something cutier =D,1
155,whatsup? ----- thanks for adding me!<3,1
156,yo homeslice!! just leavin some love on your page. ill ttyl love peace and chicken grease HOLLA *joelle*,1
157,"HEY OTHER SAMANTHA (HA-HA)THAT IS SO TRUE, I GUESS THAT IS WHY I CAN'T FORGET YOU. THANKS FOR BEING A TRUE FRIEND.",1
158,whats up shorty cant wait till friday so i can pick on you lol,1
159,how are u hun ----- will w/m/b love you alot ----- B&B Margie,1
160,"o, definitely, definitely, definitely!! yea...definitely...",1
161,hey babe why dont u put picZ of u...i wanna see ur cute face again!!!,1
162,u cassie freak,-1
163,"Not bad thanks. ----- ----- In that case, fancy going to see him in august with me? It is in London but rents are prob going to go up too and go out some place else lol its like Â£17.50 which i think is a bargain personally =) ----- ----- Get back to me lovely ----- ----- love love ----- ----- ox",1
164,"Alright guys I know everyones been asking and I hadn't made up my mind yet til now.. So here's the scoop! I'm gonna celebrate my B-DAY SATURDAY THE 14th @ GLASS.. So please help me spread the word. I only have a week to get the word out to everybody, but with everyones help we should have a great turn out.. Last year we had an awesome turnout, so lets make this years b-day/reunion party bigger than last years.. I'm counting on you guys to let everyone know about my OFFICIAL B-DAY/REUNION PARTY! Don't miss out on hanging with all our peeps under one roof! ----- ----- In the next day or so I should have some more details for everyone.. But start spreading the word! ----- ----- Orly..",1
165,"Tell Na,I said Happy Birthday!!!!!!!",1
166,ya it was under warranty so it was free! and i already got everything back on it it was all saved on my computer so its all good to go!,1
167,"damn bro, Happy Belated BIRTHDAY!!! ----- ----- hehe, but yea hope you didnt party to gard and grats on hittin 16 :P ----- ----- peace out Roids, ----- ----- ~MatT~",-1
168,"Hi Bry, im still at school doing a research project.",0
169,"I just got tired of all the shit. No support, no money, no leadership. So I quit. I spent 12 years at that place, and not one person has said thank you or even f-k off since I left. It is all good though, things are going great, and it would have been foolish of me to stay amy longer. That place has nothing going for it anymore, and I don't want to be associated with it.",1
170,My HERO!!! :-),1
171,hope you are having a killers summer so far twin.......miss ya lots,1
172,campin in flag on the 13th!! Bring the bike budday!! Lemme know. try responding for once eh?,1
173,"were going out tonight, you wanna go? let me know, call me, k?!",1
174,"Hi Dave, ----- All is well here by the river! ----- Just spoke to Jesss this morning and she is getting prepared for a halloween party in Edinburgh.... ----- cannot think of a better city than Ed to do that....very gothic with castles and cobbled streets etc (very Jess hey) ----- Lisa has just got a new job in London and is working for the management company that handles Mark Knopfler.... ----- money for nothin' and your chicks for free....etc ----- James is at Newcastle uni and having a ball....which means getting pissed most nights, I think! ----- Anyway Dave,.....keep well",-1
175,"hello mr, lovely wig i think it should be a permanent fixture! hope all is well and dandy!xx",1
176,"Hey ryan, ----- I heard u might be getting a bike thats sweet. Well good luck in your search. ----- ~trish",1
177,idk what do you mean.,0
178,"hey, did you have a good party?? sorry i couldnt go, my parents are nobbers sometimes n wouldnt pick me up :( xxx",-1
179,Shoot i guess when ever i get a chance. All the damn rodeos got me goin a bunch. i'll make it down there before to long.,-1
180,"girl, go do something with ya life.",0
181,thanx 4 da add. can u comment my pics?,1
182,"yo, we gonna listen to dem tapes dis weekend fake money. ya know, CREW 2001 like 1999. ITT TECH and all dat! SLOPPY, BJ, Big DADDY LONG SHLONG, MEX, DUI till you die or me first. ----- GET DEM 40 so you can $ it!",-1
183,okay well at least it was useful!,1
184,happy birthday =),1
185,Your Girlfriend would be even COOLER if she would just let us Cuddle...i mean she gets really Irrate about sharin...but who could blame her when she has such a (cute) Hardcore Rocker Boyfriend.......,1
186,yay ur only friend and 1st comment i feel so special,1
187,preciate dat cuz...i'an been doin nun but dis music shit...grindin harder than a muthafucka...it's payin off doe...,-1
188,Hey who is that Hott Old man in the Picture? Man I hope I look as good as he does when Im that old...,1
189,hi thanx for the lil add.........i take it you know my bff saMMI............yeah she rocks!,1
190,hello baby ----- im so glad where still together ----- just wanted to show you some love ----- ----- love stephanie,1
191,uhhh why am i not in your top whatever??? ----- i think i should be in it. ----- and how do you know adrienne the indian freshman?,1
192,"Kim is highly aggitated for no particular reason ----- ----- ...of course you are, you work with MIKE. ----- ----- miss you!",1
193,Hey are yall going to the bash this year ?,1
194,I LOVE YOU!!!!,1
195,whats up with the name ginger and fransic hehe no offense brad but really what is??? ----- its kinda streange but oh well that is like u so nevermind... ----- where u at the library hehe that is for little kids not big kids like u guys!! ----- brittany your little sister ----- (im little so i can go to the library),-1
196,"I hate liars and bitchassness, too!",-1
197,"Thanks for adding me... xoxoxoxo... ----- ----- Love Always, ----- Miss Phoebe",1
198,are we having fun,1
199,hey thinks for visting my myspace and requesting to be my friend hit me up when you see it leave me a message,1
200,"Yeh T tickets didnt really happen.. ----- Did you go to Bled or anywhere exciting like that?! I want sunshine now - Feb was miserable, time for daffodils",1
201,nah its more like bbBOOOOOOOMmm,1
202,"hey sexy im at work, i just wanted to say have fun shopping...love ya -----",1
203,Oh no...your song is broken! ----- Happy Birthday Bitch! ----- Love ya!,-1
204,It would be great to play togther again because knowing we have played together pretty much our whole football careers is gunna be hard to leave. im proud of you tho john im glad your having great success ill be here for u if u need me man. and sorry for this sympathetic stuff but im glad your my friend my man.,1
205,hey mai why are'nt u on aim?,1
206,Mary ----- I ? YOU!! ----- ----- im jus a tad bit bored ----- lol ----- so hows summer treating you?? ----- ----- ???,-1
207,I am ill!!! With something called Labrynthitus!! ----- ----- Inner ear is fucked!! ----- ----- Cant stand up without falling over!!!!!!! ----- ----- ----- x,-1
208,trying to graduate on time and get the hell out of here so i can start a life of my own.,-1
209,My life is complete. Chad is my myspace friend.woo hoo!,1
210,welcome aboard matey - see you saturday? for a bit of fighting?,-1
211,im good....... you?,1
212,YAY! I am so glad you are free to roam again. :),1
213,YES whats up u half black son of a gun you,-1
214,Hey DUDE!!!!!!!!! You need to call me so we can have band practice. ROCK ON DUDE!!!!!!!!!,1
215,wats up biatch.....u like tha movie,1
216,sup bitches. ----- ----- ----- auto-robotic asphyxiation,-1
217,"happy birthday to you happy birthday to you happy birthday dear popssss happy birthday to you! ----- ----- umm.. i think i deserve to be on your top!! ----- ----- love you, ----- sierra",1
218,"thanks, i will be back somewhere around that day too because shawn and i have a wedding to go too.... i have 4 weddings in aug to go too this year.... im goin to be so poor.... i need to find a job out in cali... okay ill talk to ya later, bye",-1
219,Hey Maribel!!!How have you been?,1
220,ya i miss u to. lol,-1
221,so how was ur weekend? i hope yall liked the game i did and didnt lol -----,1
222,"hummm water edge, well im not sure what the place is called but my buddy Kenny and my friend Wendy both live on Hiatus. so i'm not sure where....what color are the places that u live in??",1
223,"O MY FUCKING GOD!!!HA,HA,HA!OH GOD!!!! ----- =D",1
224,THATS GOOD. THATS HOW YU GITTA DO iT NOW DAYS FA YU G3T iN TROUBL3.,-1
225,hah I feel loved I am on ur tops..=),1
226,"alright savy! Got a few pictures ere for you mate, sorry I got distracted the other night man. Must see you guys soon for a few. I can send you them pictures over msn if you want to grab my email from our page!",-1
227,lol doin good! kinda tired though from track.,1
228,aye congrats on da new born my nigga,0
229,Jim doesn't get pissed off- why you mad?,-1
230,hell yeah you know it.,-1
231,is that truck worth havin? shoot,-1
232,Nigga Henna! wuts tha mutha fuckin deal cuz? i havnt seen ur punk ass in a few mins man! fuckin holla @cha boi bitch! ----- ----- Twankie,-1
233,sox/yankees you take Yanks?!?! ----- ----- are you kiddin me?,1
234,hey love you are so cute in those pics.... message me back!,1
235,hey hun how have u been,1
236,hello new fwend :D,1
237,Happy Birthday B-E-N!,1
238,"look at that lee top of your leaderboard, oh yeah and im probs the person that know you least. sorry didnt get hold of you left my phone in my dads car. but ill catch ya on monday buddy. much love xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1
239,um u a offie 4 real nick! haha naw im just playin...u know ur sexy as hell lol...,1
240,hey tiffany welcome to myspace. i seen that nobody sent u ne coments so i figured i would send u one. Hit me back maybe we can do sometime yah know. well ill ttyl bye earl,-1
241,wood lake?,0
242,how do i add a pic to my background?,0
243,it runs?? but i rolled a bearing in it.im also doin some high po work to it,0
244,,0
245,Ay whats up bro?,1
246,who?,0
247,Did the strom hit in your town?,0
248,Love you :),1
249,STEVE--OOO whats up man -----,1
250,HEYY!!! ----- THANKS FOR THE ADD! ----- ?KRiSTiN,1
251,"YAY...i can read your profile!!! lol Terri, i know you wont get this for like 10 friggin years, but i love you and thanks for being there for me when i need you the most!! you're a WONDERFUL mother-in-law! I couldn't ask for anything more!",1
252,HAPPY BIRTHDAY!!!!!!!!!!! ----- BRITTONI ----- A*K*A ----- THA ***ALL$TAR***,1
253,Think you were off from work enough this week?,0
254,lol ----- soo wut ----- =p ----- ----- we finally finished the floors.. ----- thank GOD..,1
255,HEY BOII!!! HAVENT TALK TO YA IN AMIN!! WHATS GOOD WITH YOU?? WELL IM JUS COMMIN BY SHOWIN MY PRESCIOUS LOVE,1
256,I love being your myspace friend!,1
257,HEY YALL I MISS YALL TO IM HOPING TO COME HOME SOON SHOW-MEI HAS MY DATES WEAN ILL BE BACK IN THE STATES I CANT SAY RIGHT NOW LOL ALL THE CLISSIFIED STUFF AND ALL LOL BUT ILL KEEP IN TOUCH AND TELL EVERYONE I MISS THEM ALOT AND GOOD LUCK HUNTING THIS YEAR,1
258,Hows the grind comming?,0
259,a big dave whts krakkking man its ceen a long a$$ tyme since i seen you .how have youu ceen .how is skool man ......i live out here in mizzouri still going to skool....well its good to c you on dis shit...good luck and JAH bless...,1
260,kieron ----- you blaits think my space is amazin..:D ----- loveuu x,1
261,"lol, i feel u ----- ay, if u get a chance listen to da original of that theme song, u can hear how much i had to chop and flip it to get it rite for da beat",1
262,AAaaaay bitch.........lol naw wassup baby yo page is aight it aint all dat nigga but yea change that pic got yo big ass head in the hole pic no back ground..... but yeah ya nigga gettin ghost im out i love u............,1
263,whats up with the falcons,1
264,yes Simon ----- ----- a punk bitch slap ----- ----- and thanks mate =],1
265,"hey bab, we really need to sort somethin 4 valentines so please stop bein a big gimp! 8 days till im home, love u xxxxx",1
266,wassup babe hit me up tomorrow :o),1
267,navid! ----- hows it going? i miss you! =[ ----- hope everything is well ----- ----- ? ----- shelby,1
268,Ali wear to start i really have no clue...I MISS YOU SO MUCH...come back home...ts so weird not having you around down here..like for real...makes me cry just thinking about ya...and lookin at the pictures on my closet doors what have ya on it makes me cry to...even though right now i cant walk up my steps to get to my closet doors lol...but i hope you are havin so much fun up there with all the hott guys i bet you are..and i bet it was so hard for you mom to leave her little girl...cuz i no my mom couldnt have done that..she dont even like to think about me leavin for college cuz we were talkin about you today and she was like why dont you just go to a community college in pad or madisonville for 2 years were you wont have to leave me..and i was like pssshhtt...whatever im gettin as far away from here as possible and i told her today that i was commin up there all the time when i got my licenses lol...and i am going to or else im pretty much going to go into depression...cuz i miss my ali that much right now...and it hasent even been like a whole 4 days lol and im already going like insain like you dont no...but i have wrote alot and you have alot to do i bet with gettin moved in and everything...but you have to tell me all about your first day tommorow and your new roomate hopefully she aint gay haha..i think you told me she was really pretty...but write me back...love you with all my heart...alex,-1
269,thanks for the add. wat good wit you...,1
270,CONGRATULATIONS on the new addition to the family! Can't wait to watch James grow & develop into a young man!!,1
271,"Aye I'm not feelin the best either atm..but that's probably only cos of my shit weekend haha ----- ----- Good luck with algebra then ;] ----- ----- School sucks here...like loads of my mates in the year above me have left, and they were the fun ones...so school is majorly boring >_< ----- But I'll live haha ----- ----- xx <3",1
272,Thanx for the love girl!!! ----- ----- You're very pretty....I know ur gonna do great with dancing & modeling as long as u stay aggressive. ----- ----- I'm not modeling yet. I work full time so its kinda hard....but ima try to get on top of right now =p gotta get ourselves out there. Its all about running across the right people =) ----- ----- Hope u have a great weekend. ----- ----- Show me sum love and ill always return it. Don't be a stranger. ----- ----- ~!> MIZZ FAITH (B.B.)<!~,1
273,hey,1
274,HIIIIIIIIIIIII RISSA!!!! Good to see you on-line!!!,1
275,yooo holla at me this weekend man so we can party we aint gotten drunk ina minute,-1
276,Whats up homie,1
277,"I hope you're having a GREAT Weekend! ----- ----- Yes, I finally posted my latest blog entry! I had so many requests to put it up but many things have happened recently. I'm not sure if you were one of the ones who messaged me about it, I mean I had hundreds and that's a lot to remember...lol ----- ----- - MC ----- ----- P.S. - If you haven't subscribed yet, Subscribe now, and you'll be notified when it's updated!",1
278,I LOVE YOU AND MISS YOU CANT WAIT TILL YOU COME HOME TODAY!!!WOOO PARTAY TIME!!,1
279,Hey Baby! There you are. See you tonight.,1
280,WUT^ IM JUS PASSIN BY TO SHOW U AND UR PAGE SUM LUV SO WHEN YOU GET THIS I HOPE YOU RETURN THIS AS SOON AS POSSIBLE BE SAFE 1,1
281,Your page gives me a headache.... lol,-1
282,na na na na....na na na na....HEY HEY HEY...GOODBYE ATL!!!!............na na na na....na na na na....HERE WE COME...HTOWN!!!!!!!!!!!,1
283,Thanks you rock! HA thats my first message. Later,1
284,hey bud!! whats up? i see you have um changed your page a little haha!,1
285,I miss and love you!,1
286,lol i still love u no matter what,1
287,OMG!!!...that is a great picture,1
288,wuts up mayne? ----- just stoppin through and gracin your page. ----- make sure you return the favor ya digg?,1
289,Hey<3 ----- I'm Steven ----- How are you?,1
290,Yep! We actually have 10 that we know of! Six black ones and four brown ones!,1
291,hey girl thanks for the add looking good,1
292,"What's up dude, what are you doing tonight any plans? I might hit the bar up later but not sure yet. Call me if you are going out...",1
293,wat up asshole dis Dough holla at me,-1
294,Hey baby....I'm the first one to comment on your myspace...............I LOVE YOU!!!!!!! <3,1
295,hey boy what u been up 2?,1
296,"Senor Gorgo, How nice of you:-) ----- Good luck with everything! ----- Kizzy",1
297,"wow.i haven't been gone from the house yet for too long, and now you are adding me on myspace!! hahaha you must miss me a lot. hahahahahah ----- ----- x",1
298,"you found me you little jackal! haha, ----- I love you lots, bro!",1
299,"Hey im glad i am the first one to comment on your page, fix it up, make it look nice, and they WILL come...",1
300,U are such an old soul...lovin the fro!! Get @ me Hun...I never see ya anymore. :),1
301,funn!! (minus the back and forth stuff) did u start school...in august??,1
302,"yeh defo we can meet up wen were back off hols an do summit guna be a bit busy until then. tell me if u hear from summer school cos i still havent got nething yet, cheers bigears!",-1
303,so im listenin to ratm ----- and i thought of you <3 ----- haha word ----- but speaking of burned victims ----- we needa hang out again ----- lol,-1
304,whaddup?,0
305,ur an animal,0
306,"who recruited you? cuz if i am right there were two sgts there msgt rosario, and tech sgt. green. msgt rosario got me in",0
307,"CHEERS , NEYE.... I AM HUMBLED. ----- DID I MAKE SENSE? HA HA HA.... ----- ----- BEST WISHES FROM KUALA LUMPUR.",1
308,thanks bro!,1
309,HAHAHAHAHAHAHAH UR PIC IS FUNNY......... ----- -CJ aka LiL'J.C. ----- comment back,1
310,You didn't let brother Kevin have a guest appearance solo on the new album???,0
311,"hi aunt donna,love you hopefully i will be able to see you guys soon.tell Gab and Josh i said hello.",1
