10,"The reason for the change was that users were annoyed by the proliferation of new tabs, when they felt they _weren't_ necessary.   Rather than reverting the PR, how about one of two means to support either behavior?  1) Make it an actual link so that users can Command-click or right-click the link to choose to open it in a new window? 2) Add a configuration variable in config.py so that the admin of the installation can override it?  If neither of those work, or take too long, I suppose we can revert it and then carry it forward in a new PR if needed. ",-1
11,"we think option (2) makes the most sense, though given this is a breaking change (in terms of UX) we sense it is best to revert the PR and in a follow up PR and the configuration option. ",-1
12,"hi @john-bodley @michellethomas i saw that you have reverted this change from locally. thanks for the feedback 🙏  We assume that the reason why a user click ""View chart in Explore"" is to tweak a specific chart, because all of the ""view only"" functionalities, including 1) view query 2)view chart details by hovering 3) maximize chart 4) filtering chart can all be done straightly from Dashboard.  Under this assumption, ""opening Explore from the same window -> making changes in Explore -> saving chart and going back to the same dashboard -> seeing changes appear on original or a new dashboard"" seem to be a better/ more simplified workflow than leaving multiple tabs that show different versions of the same dashboard hanging. One quick enhancement to eliminate confusion is to change ""View chart in Explore"" to ""Edit chart in Explore""   I apologize if this assumption doesn't make sense to your users and the inconvenience we introduced by the change.  As more and more users adopt Superset globally, accommodating to all users from different organizations became harder and harder, which means changes are inevitable.  But I'm not sure if this this change is considered as a ""breaking change"" according to a passed SIP [SIP-57] Proposal for Semantic Versioning, the definition of UI/UX changes is as follow  - Changes that removes an existing functionality, such as a chart type or ability to select favorites.  (Inconsequential visual changes or small functional changes such as removing a tooltip or the removing the ability to color a label aren't considered breaking changes.) - Changes that break an existing workflow without providing a clear alternative or require user intervention for the alternative to be applied.  User may take a while to adapt to the optimized new flow, but the original functionality - opening Explore was not removed by this PR. I would suggest to go with proposed solution 2 without reverting from the main repo. 🙏 ",-1
13,"> users were annoyed by the proliferation of new tabs,  Isn't this showing how frequently user needs to _**dig into many charts from a dashboard**_?   If this is the case, - option 1: open chart from same dashboard window, and go back to dashboard, wait it load, and find next chart. - option 2: open chart into another window and leave original dashboard open. User can always go back to dashboard without waiting reloading and find the right tab.  To me the option 2 is much easier and intuitive way. ",-1
14,"> change ""View chart in Explore"" to ""Edit chart in Explore""  really BAD idea. don't do it. ",-1
15,"    > really BAD idea. don't do it.  sure!! 😁  but again, the assumption we had is based on feedback from a good number of new Superset users. I can foresee more ""disagreements"" on changes are coming in the future, to make everyone happy, i suggest to make Superset more configurable and general, instead of building it around any specific organizations.  ",-1
16,Totally agree  **make Superset more configurable and general** ,0
17,"Thanks @rusackas for reverting this. In terms of user feedback, for this week's internal Airbnb release we forgot to locally revert the change (as was done in the previous release) and were pinged almost immediately by a user in Slack with the following:  > When clicking View chart in Explore in my Supeset dashboards, it used to open up Explore view in a separate tab, but now it is navigating away from the dashboard in the same tab.. > > **Are others experiencing this same behavior?**  (might be an issue with my browser settings, although I have not changed anything recently) > > **Is this expected behavior?**  I frequently use this button to explore multiple charts and datasets and it’s rather cumbersome to have to navigate back to the dashboard every time.  And when you navigate back to the dashboard, it does not return to the tab you were on before ",-1
18,Text,0
19,"### SUMMARY Fixes: #14672  The function `postForm` introduced in PR #9345 has the target set to `_blank` by default. This PR specifies `_self` instead. There does not seem to be any obvious issue in doing so. Input from @graceguo-supercat is appreciated as a double check.  ### TESTING INSTRUCTIONS 1. Open a dashboard 2. Choose a chart and select ""View Chart in Explore"" 3. Make sure the chart Explore page is opened in the same window  ### ADDITIONAL INFORMATION <!--- Check any relevant boxes with ""x"" --> <!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue --> - [x] Has associated issue: #14672 - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  ",1
20,"# [Codecov](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#14778](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (169de6d) into [master](https://codecov.io/gh/apache/superset/commit/281d637674ff8c75faea99ae5fc84d3ef6576dce?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (281d637) will **not change** coverage. > The diff coverage is `0.00%`.  > :exclamation: Current head 169de6d differs from pull request most recent head 4dca748. Consider uploading reports for the commit 4dca748 to get more accurate results [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/14778/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@           Coverage Diff           @@ ##           master   #14778   +/-   ## =======================================   Coverage   77.57%   77.57%            =======================================   Files         963      963              Lines       49290    49290              Branches     6205     6205            =======================================   Hits        38235    38235              Misses      10854    10854              Partials      201      201            ```  | Flag | Coverage Δ | | |---|---|---| | javascript | `72.43% <0.00%> (ø)` | |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [...uperset-frontend/src/explore/exploreUtils/index.js](https://codecov.io/gh/apache/superset/pull/14778/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2V4cGxvcmUvZXhwbG9yZVV0aWxzL2luZGV4Lmpz) | `66.25% <0.00%> (ø)` | |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [281d637...4dca748](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  ",1
21,/testenv up  ,0
22,@junlincc Ephemeral environment spinning up at http://34.218.44.244:8080. Credentials are `admin`/`admin`. Please allow several minutes for bootstrapping and startup. ,1
23,"Thanks for the PR. Please see video of Before and After behavior in select of Dashboard->Explore->Dashboard flow   https://user-images.githubusercontent.com/67837651/119709552-31da2200-be12-11eb-9cf6-f75e93948dc7.mov  Previous behavior. View chart in Explore takes user to Explore, user revise the chart in Explore and can save it back to same dashboard( preselect in the dropdown). i dont think your PR changed the behavior, just wonder why the source dashboard is not preselected anymore.  ",-1
24,"I don't see the problem that you are describing but I see a worse problem.  If you open up any dashboard it will always pre-select the same dashboard, independently from the actual dashboard that you have opened. This is not related to this PR as this problem is reproducible on master and in this branch also now that I have merged it with master.  See video.  https://user-images.githubusercontent.com/60598000/119867313-6b9c4d00-bf26-11eb-96d5-9db751c9d576.mp4   Please let me know if you can reproduce it, we should file a separate issue.  ",-1
25,Ephemeral environment shutdown and build artifacts deleted. ,0
26,"Apologies for the late response. @geido @villebro et al. could one provide context as why we want to explore a chart in place as opposed to in a new tab? I think many users prefer opening a chart in a new tab whilst maintaining reference to the dashboard—especially when one wishes to open multiple charts (which isn't possible with this change). Additionally per @villebro's comment the behavior of opening a chart in a new tab is consistent with ""Run in SQL Lab"" etc. ",0
27,"I didn't notice this PR till today....Airbnb users preferred to open ""View Chart in Explore"", because our dashboard is large, many charts, many tabs. A user may open a dashboard, then click a few tabs and nested sub tabs,  and then click View chart. Open the chart in the same window will make user lost their context. **Please revert this PR**.  I would like to know what's the benefit to open chart in the same window? ",-1
28,"@graceguo-supercat @john-bodley @junlincc   The reason for the change was that users were annoyed by the proliferation of new tabs, when they felt they _weren't_ necessary.   Rather than reverting the PR, how about one of two means to support either behavior?  1) Make it an actual link so that users can Command-click or right-click the link to choose to open it in a new window? 2) Add a configuration variable in config.py so that the admin of the installation can override it?  If neither of those work, or take too long, I suppose we can revert it and then carry it forward in a new PR if needed. ",-1
29,"@rusackas we think option (2) makes the most sense, though given this is a breaking change (in terms of UX) we sense it is best to revert the PR and in a follow up PR and the configuration option. ",-1
30,"hi @john-bodley @michellethomas i saw that you have reverted this change from locally. thanks for the feedback 🙏  We assume that the reason why a user click ""View chart in Explore"" is to tweak a specific chart, because all of the ""view only"" functionalities, including 1) view query 2)view chart details by hovering 3) maximize chart 4) filtering chart can all be done straightly from Dashboard.  Under this assumption, ""opening Explore from the same window -> making changes in Explore -> saving chart and going back to the same dashboard -> seeing changes appear on original or a new dashboard"" seem to be a better/ more simplified workflow than leaving multiple tabs that show different versions of the same dashboard hanging. One quick enhancement to eliminate confusion is to change ""View chart in Explore"" to ""Edit chart in Explore""   I apologize if this assumption doesn't make sense to your users and the inconvenience we introduced by the change.  As more and more users adopt Superset globally, accommodating to all users from different organizations became harder and harder, which means changes are inevitable.  But I'm not sure if this this change is considered as a ""breaking change"" according to a passed SIP [SIP-57] Proposal for Semantic Versioning, the definition of UI/UX changes is as follow  - Changes that removes an existing functionality, such as a chart type or ability to select favorites.  (Inconsequential visual changes or small functional changes such as removing a tooltip or the removing the ability to color a label aren't considered breaking changes.) - Changes that break an existing workflow without providing a clear alternative or require user intervention for the alternative to be applied.  User may take a while to adapt to the optimized new flow, but the original functionality - opening Explore was not removed by this PR. I would suggest to go with proposed solution 2 without reverting from the main repo. 🙏 ",-1
31,"> users were annoyed by the proliferation of new tabs,  Isn't this showing how frequently user needs to _**dig into many charts from a dashboard**_?   If this is the case, - option 1: open chart from same dashboard window, and go back to dashboard, wait it load, and find next chart. - option 2: open chart into another window and leave original dashboard open. User can always go back to dashboard without waiting reloading and find the right tab.  To me the option 2 is much easier and intuitive way. ",-1
32,"> change ""View chart in Explore"" to ""Edit chart in Explore""  really BAD idea. don't do it. ",-1
33,"    > really BAD idea. don't do it.  sure!! 😁  but again, the assumption we had is based on feedback from a good number of new Superset users. I can foresee more ""disagreements"" on changes are coming in the future, to make everyone happy, i suggest to make Superset more configurable and general, instead of building it around any specific organizations.  ",-1
34,Totally agree  **make Superset more configurable and general** ,0
35,"Thanks @rusackas for reverting this. In terms of user feedback, for this week's internal Airbnb release we forgot to locally revert the change (as was done in the previous release) and were pinged almost immediately by a user in Slack with the following:  > When clicking View chart in Explore in my Supeset dashboards, it used to open up Explore view in a separate tab, but now it is navigating away from the dashboard in the same tab.. > > **Are others experiencing this same behavior?**  (might be an issue with my browser settings, although I have not changed anything recently) > > **Is this expected behavior?**  I frequently use this button to explore multiple charts and datasets and it’s rather cumbersome to have to navigate back to the dashboard every time.  And when you navigate back to the dashboard, it does not return to the tab you were on before ",-1
36,"### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF ![aboutafter](https://user-images.githubusercontent.com/62111795/120540066-412f1180-c3b6-11eb-9489-7eed487e908f.jpg)  ### TESTING INSTRUCTIONS Add a variable called BUILD_NUMBER in the config.py, the value should be displayed in the About section underneath the version/sha. No build information is shown if there is no variable BUILD_NUMBER in the config.py file.  ### ADDITIONAL INFORMATION <!--- Check any relevant boxes with ""x"" --> <!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue --> - [ ] Has associated issue: - [X] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  ",1
37,"Hi, do I need to action something from my side to speed things up? ",0
38,Hi there! Is there anything we can do to help get this merged? @junlincc? @nytai?  ,1
39,"My mistake for reviewing, apologies. ",-1
40,How can we get the ball rolling with this PR? @junlincc  ,0
41,"Could you please explain your use case and why this is needed? Does the current version config, kept in package.json, not meet your needs?  ",1
42,"Sure, we want to qualify/augment the version number available in the config by adding a build number shown in the about. Would be useful for our QA people. That number in our case is the date we build the image and a sequence number, too long to fit on the same line of the Superset version. ",1
43,"Ok, looks like CI is failing. Can you add a default value to config.py and a comment explaining what this config does and how to use it?  ",-1
44,"# [Codecov](https://codecov.io/gh/apache/superset/pull/14955?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#14955](https://codecov.io/gh/apache/superset/pull/14955?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (6996976) into [master](https://codecov.io/gh/apache/superset/commit/4e380db3fda1fc19bb0934b3950f5c393107719a?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (4e380db) will **decrease** coverage by `0.21%`. > The diff coverage is `85.71%`.  [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/14955/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/14955?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@            Coverage Diff             @@ ##           master   #14955      +/-   ## ========================================== - Coverage   76.71%   76.50%   -0.22%      ==========================================   Files        1002     1002                 Lines       53823    53829       +6        Branches     7287     7291       +4      ========================================== - Hits        41292    41183     -109      - Misses      12291    12406     +115        Partials      240      240               ```  | Flag | Coverage Δ | | |---|---|---| | hive | `?` | | | javascript | `71.00% <80.00%> (+0.01%)` | :arrow_up: | | mysql | `81.55% <100.00%> (+<0.01%)` | :arrow_up: | | postgres | `81.53% <100.00%> (-0.04%)` | :arrow_down: | | presto | `?` | | | python | `81.66% <100.00%> (-0.43%)` | :arrow_down: | | sqlite | `81.18% <100.00%> (-0.04%)` | :arrow_down: |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/14955?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [superset-frontend/src/components/Menu/Menu.tsx](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2NvbXBvbmVudHMvTWVudS9NZW51LnRzeA==) | `69.79% <ø> (ø)` | | | [...uperset-frontend/src/components/Menu/MenuRight.tsx](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2NvbXBvbmVudHMvTWVudS9NZW51UmlnaHQudHN4) | `91.22% <80.00%> (-1.23%)` | :arrow_down: | | [superset/config.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvY29uZmlnLnB5) | `91.39% <100.00%> (+0.02%)` | :arrow_up: | | [superset/views/base.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvdmlld3MvYmFzZS5weQ==) | `76.51% <100.00%> (+0.07%)` | :arrow_up: | | [superset/db\_engines/hive.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvZGJfZW5naW5lcy9oaXZlLnB5) | `0.00% <0.00%> (-82.15%)` | :arrow_down: | | [superset/db\_engine\_specs/hive.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvZGJfZW5naW5lX3NwZWNzL2hpdmUucHk=) | `69.80% <0.00%> (-16.87%)` | :arrow_down: | | [superset/db\_engine\_specs/presto.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvZGJfZW5naW5lX3NwZWNzL3ByZXN0by5weQ==) | `83.47% <0.00%> (-6.91%)` | :arrow_down: | | [superset/views/database/mixins.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvdmlld3MvZGF0YWJhc2UvbWl4aW5zLnB5) | `81.03% <0.00%> (-1.73%)` | :arrow_down: | | [superset/connectors/sqla/models.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvY29ubmVjdG9ycy9zcWxhL21vZGVscy5weQ==) | `88.04% <0.00%> (-1.66%)` | :arrow_down: | | [superset/db\_engine\_specs/base.py](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvZGJfZW5naW5lX3NwZWNzL2Jhc2UucHk=) | `88.00% <0.00%> (-0.39%)` | :arrow_down: | | ... and [3 more](https://codecov.io/gh/apache/superset/pull/14955/diff?src=pr&el=tree-more&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/14955?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/14955?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [4e380db...6996976](https://codecov.io/gh/apache/superset/pull/14955?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  ",-1
45,"There is still a failing check, no clue why. All I get is: T_he operation was canceled._ for Python Misc / python-lint ",-1
46,Yes. I think there’s an issue with a pylint upgrade that’s currently affecting all PRs.  ,0
47,"@cccs-joel you might have to rebase your branch to fix, seems like some of the more recently opened PRs are not having issues.  ",1
48,"@nytai I just merged master into my branch once again, hopefully that will trigger the checks and they will all pass. ",0
49,"@nytai Ok, that did the trick, all checks are now passing. Can someone merge? ",-1
50,Text,0
