ID,Text,trinary result,source
72,  I think I may be too friendly...lol... o well...,1,Twiiter_dataSet_Sentiment140
73,  I think Manuel (my Basil plant) only has days to live   ,0,Twiiter_dataSet_Sentiment140
74,  I wanna be at home @ church...I wonder wht they are doing?,0,Twiiter_dataSet_Sentiment140
75,  i wanna make my own pizza,0,Twiiter_dataSet_Sentiment140
76,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x",1,Twiiter_dataSet_Sentiment140
77,  i want a hug,1,Twiiter_dataSet_Sentiment140
78,  I want Miley to tour Australia,0,Twiiter_dataSet_Sentiment140
79,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels,1,Twiiter_dataSet_Sentiment140
80,  i was too slow to get $1 Up tix,0,Twiiter_dataSet_Sentiment140
81,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat",1,Twiiter_dataSet_Sentiment140
82,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   ,1,Twiiter_dataSet_Sentiment140
83,"  i would be so much happier if the walls of my bedroom were painted white,",1,Twiiter_dataSet_Sentiment140
84,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall,-1,Twiiter_dataSet_Sentiment140
85,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me,-1,Twiiter_dataSet_Sentiment140
86,  I'm really going to bed now...,0,Twiiter_dataSet_Sentiment140
87,  im sick  'cough cough',-1,Twiiter_dataSet_Sentiment140
88,  in cab headed to the airport!  going home.... &lt;christy&gt;,1,Twiiter_dataSet_Sentiment140
89,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work,1,Twiiter_dataSet_Sentiment140
90,  Jin has a twitter.,0,Twiiter_dataSet_Sentiment140
91,  jonas day is almost over... ,0,Twiiter_dataSet_Sentiment140
92,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.,1,Twiiter_dataSet_Sentiment140
93,  just gonna smile...cuz it is what it is..and im not sure what more they could want..,1,Twiiter_dataSet_Sentiment140
94,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy.",1,Twiiter_dataSet_Sentiment140
95, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6,-1,Twiiter_dataSet_Sentiment140
96,  mi momacita won't let me go to my bf's bball game!!! grrr!!!,1,Twiiter_dataSet_Sentiment140
97,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,0,Twiiter_dataSet_Sentiment140
98,  My new car was stolen....by my mother who wanted to go pose at church.,-1,Twiiter_dataSet_Sentiment140
99,"  no hang out with the girls 2day. 2moro, hope so......",1,Twiiter_dataSet_Sentiment140
100,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!,1,Twiiter_dataSet_Sentiment140
101,  no pavel tonight &lt;Tigersfan &gt;,0,Twiiter_dataSet_Sentiment140
102,  not a cool night.,1,Twiiter_dataSet_Sentiment140
103,  oh thank you!,1,Twiiter_dataSet_Sentiment140
104,  pleased,1,Twiiter_dataSet_Sentiment140
105,  probably guna get off soon since no one is talkin no more,-1,Twiiter_dataSet_Sentiment140
106,  really wanted Safina to pull out a win &amp; to lose like that...,-1,Twiiter_dataSet_Sentiment140
107,"  RIP, David Eddings.",-1,Twiiter_dataSet_Sentiment140
108,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.,1,Twiiter_dataSet_Sentiment140
109, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8,1,Twiiter_dataSet_Sentiment140
110,  so whats the status on next weekend,0,Twiiter_dataSet_Sentiment140
111,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade,-1,Twiiter_dataSet_Sentiment140
112,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,1,Twiiter_dataSet_Sentiment140
113,"  Thanks, I need all the help i can get.",1,Twiiter_dataSet_Sentiment140
114, - that explains alot.,0,Twiiter_dataSet_Sentiment140
115,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.,1,Twiiter_dataSet_Sentiment140
116,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad.",-1,Twiiter_dataSet_Sentiment140
117,  trae is so sweet! He just bought me a new baithing suit!! Wove him ,-1,Twiiter_dataSet_Sentiment140
118,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh",1,Twiiter_dataSet_Sentiment140
119,  u guys knw whyy,0,Twiiter_dataSet_Sentiment140
120,  very much so ,0,Twiiter_dataSet_Sentiment140
121,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;,-1,Twiiter_dataSet_Sentiment140
122,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --,-1,Twiiter_dataSet_Sentiment140
123,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",-1,Twiiter_dataSet_Sentiment140
124,  where is my picture i feel naked ,0,Twiiter_dataSet_Sentiment140
125,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.,1,Twiiter_dataSet_Sentiment140
126, - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn,1,Twiiter_dataSet_Sentiment140
127,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp,-1,Twiiter_dataSet_Sentiment140
128,  wide awake   NOT!!!,1,Twiiter_dataSet_Sentiment140
129,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...,-1,Twiiter_dataSet_Sentiment140
130, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly,1,Twiiter_dataSet_Sentiment140
131,  you'll always be my one and only...  [12*23*2007],0,Twiiter_dataSet_Sentiment140
132, #3turnoffwords this shit sucks,-1,Twiiter_dataSet_Sentiment140
133, #asylm J2 panel is over. Guess it's back to normal life.,0,Twiiter_dataSet_Sentiment140
134, #poemsunder140 ....started by @shannonelyse1,0,Twiiter_dataSet_Sentiment140
135, #squarespace brighten my bad day! i never win anything...,-1,Twiiter_dataSet_Sentiment140
136," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!",1,Twiiter_dataSet_Sentiment140
137, #twenty20,0,Twiiter_dataSet_Sentiment140
138," &lt;--- That is all, and believe me.. it's enough!",1,Twiiter_dataSet_Sentiment140
139, &lt;3 goooood timessss,1,Twiiter_dataSet_Sentiment140
140, &lt;3 GrAdUaTE 09&lt;3,0,Twiiter_dataSet_Sentiment140
141," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )",-1,Twiiter_dataSet_Sentiment140
142, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far ,-1,Twiiter_dataSet_Sentiment140
143, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343,1,Twiiter_dataSet_Sentiment140
144, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....,-1,Twiiter_dataSet_Sentiment140
145, &quot;I want you so bad it's driving me  mad&quot;,-1,Twiiter_dataSet_Sentiment140
146, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...,0,Twiiter_dataSet_Sentiment140
147, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke,1,Twiiter_dataSet_Sentiment140
148, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel),0,Twiiter_dataSet_Sentiment140
149," &quot;well, the truth is I miss you so&quot;- Coldplay",-1,Twiiter_dataSet_Sentiment140
150, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86,-1,Twiiter_dataSet_Sentiment140
151, (unsure) (annoyed) http://plurk.com/p/1230lz,-1,Twiiter_dataSet_Sentiment140
152, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc,-1,Twiiter_dataSet_Sentiment140
153, *BeautifulyLost,1,Twiiter_dataSet_Sentiment140
154,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!,-1,Twiiter_dataSet_Sentiment140
155,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! ,1,Twiiter_dataSet_Sentiment140
156,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. ,1,Twiiter_dataSet_Sentiment140
157," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little.",0,Twiiter_dataSet_Sentiment140
158,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . ",0,Twiiter_dataSet_Sentiment140
159,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*,1,Twiiter_dataSet_Sentiment140
160, .. i wantt hiim soo badd !!,-1,Twiiter_dataSet_Sentiment140
161," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend",1,Twiiter_dataSet_Sentiment140
162, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...,1,Twiiter_dataSet_Sentiment140
163, ... Rained out truck race,0,Twiiter_dataSet_Sentiment140
164, ... Why am I feeling worse??? F!!!,-1,Twiiter_dataSet_Sentiment140
165, .... Feeling pain and happiness at the same time. How confusing!,-1,Twiiter_dataSet_Sentiment140
166, ..... hot choco is the best!,1,Twiiter_dataSet_Sentiment140
167, ....in a shirt and panties. celulite,0,Twiiter_dataSet_Sentiment140
168, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...,0,Twiiter_dataSet_Sentiment140
169, ..y everything is so hard? :/,-1,Twiiter_dataSet_Sentiment140
170, .bueno good bye. good night,1,Twiiter_dataSet_Sentiment140
171, : Beach day with Scoobs. =( : Still no phone.,-1,Twiiter_dataSet_Sentiment140
172," : Let's have fun,. When I give ya what I give ya.",1,Twiiter_dataSet_Sentiment140
173, :[ I don't want to move!!!,-1,Twiiter_dataSet_Sentiment140
174," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS",1,Twiiter_dataSet_Sentiment140
175, @ canaveral national  seashore,0,Twiiter_dataSet_Sentiment140
176, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out,0,Twiiter_dataSet_Sentiment140
177, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. ,1,Twiiter_dataSet_Sentiment140
178, @ the train crash in DC .....,0,Twiiter_dataSet_Sentiment140
179,' @ Thestreetforce  ',0,Twiiter_dataSet_Sentiment140
180, @3sixty5days makes me smile.,1,Twiiter_dataSet_Sentiment140
181," @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW",0,Twiiter_dataSet_Sentiment140
182," @adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6r0",1,Twiiter_dataSet_Sentiment140
183, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.,1,Twiiter_dataSet_Sentiment140
184, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?,1,Twiiter_dataSet_Sentiment140
185, @AmericanWomannn Well that sure minimizes the impact...LOL,1,Twiiter_dataSet_Sentiment140
186," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy",0,Twiiter_dataSet_Sentiment140
187, @CharlottegC I just saw ur mum,0,Twiiter_dataSet_Sentiment140
188, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.,-1,Twiiter_dataSet_Sentiment140
189,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024",1,Twiiter_dataSet_Sentiment140
190, @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7,1,Twiiter_dataSet_Sentiment140
191,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better),0,Twiiter_dataSet_Sentiment140
192, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh,1,Twiiter_dataSet_Sentiment140
193, @dandelionas is making fettucini and garlic bread!,1,Twiiter_dataSet_Sentiment140
194, @danregal  tell @pfont i said Happy BDay!! ,1,Twiiter_dataSet_Sentiment140
195,#NAME?,-1,Twiiter_dataSet_Sentiment140
196," @DirtyRose17  told you, you would sweep haha :-p",1,Twiiter_dataSet_Sentiment140
197, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2,0,Twiiter_dataSet_Sentiment140
198,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion,-1,Twiiter_dataSet_Sentiment140
199," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?",0,Twiiter_dataSet_Sentiment140
200,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics",0,Twiiter_dataSet_Sentiment140
201, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.,0,Twiiter_dataSet_Sentiment140
202, @Glamicole ..now who wud make this beautiful plc cry?,-1,Twiiter_dataSet_Sentiment140
203, @HaterMagazine: @damienrandle it is now the outer fat kid.,-1,Twiiter_dataSet_Sentiment140
204,#NAME?,-1,Twiiter_dataSet_Sentiment140
205," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn",1,Twiiter_dataSet_Sentiment140
206," @hellopnsdear se MORREA a mi Joseph, no no se vale.",0,Twiiter_dataSet_Sentiment140
207, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR,1,Twiiter_dataSet_Sentiment140
208, @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO,1,Twiiter_dataSet_Sentiment140
209, @iamyas awesome,1,Twiiter_dataSet_Sentiment140
210, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn,1,Twiiter_dataSet_Sentiment140
211,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! ,-1,Twiiter_dataSet_Sentiment140
212,- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â€¦,-1,Twiiter_dataSet_Sentiment140
213, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!,1,Twiiter_dataSet_Sentiment140
214,#NAME?,0,Twiiter_dataSet_Sentiment140
215,#NAME?,0,Twiiter_dataSet_Sentiment140
216,- @katherineholden Thanks K! Here's hoping! Pretty nervous though... ,-1,Twiiter_dataSet_Sentiment140
217, @katiedontcry should get on aim and talk to me. i miss her.,-1,Twiiter_dataSet_Sentiment140
218, @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn,0,Twiiter_dataSet_Sentiment140
219," @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y",0,Twiiter_dataSet_Sentiment140
220, @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL,0,Twiiter_dataSet_Sentiment140
221, @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!,1,Twiiter_dataSet_Sentiment140
222," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?",-1,Twiiter_dataSet_Sentiment140
223,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* ",-1,Twiiter_dataSet_Sentiment140
224, @lolife4life where r u tonite im still awake!,1,Twiiter_dataSet_Sentiment140
225, @lorinimus hates Bebot App,-1,Twiiter_dataSet_Sentiment140
226," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G",1,Twiiter_dataSet_Sentiment140
227, @MelodyChase,0,Twiiter_dataSet_Sentiment140
228, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC,0,Twiiter_dataSet_Sentiment140
229, @michaelsarver so do you give him every inch of your love every night?,1,Twiiter_dataSet_Sentiment140
230, @mimbles @WParenthetical,0,Twiiter_dataSet_Sentiment140
231,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. ,0,Twiiter_dataSet_Sentiment140
232," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET",-1,Twiiter_dataSet_Sentiment140
233,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge ,1,Twiiter_dataSet_Sentiment140
234, @Oneshine What are u referring to?,0,Twiiter_dataSet_Sentiment140
235, @plmusic22,0,Twiiter_dataSet_Sentiment140
236,"- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol",1,Twiiter_dataSet_Sentiment140
237, @RAPPUBLICIST HAPPY MOTHERS DAY!,1,Twiiter_dataSet_Sentiment140
238,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! ",1,Twiiter_dataSet_Sentiment140
239,                                     I miss her so much already...,-1,Twiiter_dataSet_Sentiment140
240,               just practising.....how I feel       ,0,Twiiter_dataSet_Sentiment140
241,            Miss my love Jamie,1,Twiiter_dataSet_Sentiment140
242,          FUCK YOU!,-1,Twiiter_dataSet_Sentiment140
243,        my head feels like a bowling ball,1,Twiiter_dataSet_Sentiment140
244,        my heart hurts badly...,-1,Twiiter_dataSet_Sentiment140
245,       FS keeps crashing when I try to load Bungie plane.,0,Twiiter_dataSet_Sentiment140
246,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    ,-1,Twiiter_dataSet_Sentiment140
247,     ....    My mood is currently BLAH . Sitting in a parking lot,-1,Twiiter_dataSet_Sentiment140
248,     I am happy     ,1,Twiiter_dataSet_Sentiment140
249,    ...that is all.,0,Twiiter_dataSet_Sentiment140
250,    everyone went home. and not everyone was even here! ~CMF &lt;3,1,Twiiter_dataSet_Sentiment140
251,    fed up....,0,Twiiter_dataSet_Sentiment140
252,"    fuck, fuck, fuuuuck!",-1,Twiiter_dataSet_Sentiment140
253,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!",1,Twiiter_dataSet_Sentiment140
254,   @Beansummer,0,Twiiter_dataSet_Sentiment140
255,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt ",0,Twiiter_dataSet_Sentiment140
256,   bed time now....,0,Twiiter_dataSet_Sentiment140
257,   Faltam 4 dias para o World Drawing day,0,Twiiter_dataSet_Sentiment140
258,"   Friends like these ... no thanks, I'm not fake! ^ ^",1,Twiiter_dataSet_Sentiment140
259,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.,1,Twiiter_dataSet_Sentiment140
260,   i think my bf is cheating on me!!!!     ,-1,Twiiter_dataSet_Sentiment140
261,   i wanna play with my camera but i will settle for playing with iv's and heart monitors,1,Twiiter_dataSet_Sentiment140
262,   i want an octo drive,0,Twiiter_dataSet_Sentiment140
263,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!",1,Twiiter_dataSet_Sentiment140
264,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work,0,Twiiter_dataSet_Sentiment140
265,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight,-1,Twiiter_dataSet_Sentiment140
266,  --- is our response to what happened today. and that is all.,0,Twiiter_dataSet_Sentiment140
